samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.010870783048868179,0.009499296191959094,0.009594153068712589,,,
20000,300,30000,0.011040763318538666,0.009854690481325062,0.009661094000111423,3.5163867,"tensor(1., device='cuda:0')","tensor(0.0032171307, device='cuda:0')"
40000,600,60000,0.010839500266313553,0.009835528045756829,0.009439642012036321,3.8049812,"tensor(1., device='cuda:0')","tensor(0.0038331018, device='cuda:0')"
60000,900,90000,0.011146164637804032,0.010149224180096141,0.009639780153917156,4.5566516,"tensor(0.0003938347, device='cuda:0')","tensor(0.0090793055, device='cuda:0')"
80000,1200,120000,0.010774318438768388,0.009963976219743454,0.009369941019081483,3.5231707,"tensor(1., device='cuda:0')","tensor(0.0055041797, device='cuda:0')"
83400,1251,125100,0.010746598708629608,0.009924398785676492,0.009260304822572932,3.1886716,"tensor(1., device='cuda:0')","tensor(0.0036466662, device='cuda:0')"
103400,1551,155100,0.010081380724906922,0.009161094431113877,0.00840299195176222,4.0349116,"tensor(0.0007007262, device='cuda:0')","tensor(0.0087535409, device='cuda:0')"
123400,1851,185100,0.010129789620637894,0.009327202777883147,0.008506840719799265,4.095589,"tensor(1., device='cuda:0')","tensor(0.0044157766, device='cuda:0')"
143400,2151,215100,0.010021902114152909,0.009227821358908901,0.008212231893909766,4.7862844,"tensor(1., device='cuda:0')","tensor(0.0042186105, device='cuda:0')"
163400,2451,245100,0.009703841978311539,0.008931954451422053,0.007753979342638293,3.4473789,"tensor(1., device='cuda:0')","tensor(0.0016346388, device='cuda:0')"
166800,2502,250200,0.009824888527393341,0.009009742625245436,0.00788723909036051,4.5231495,"tensor(1., device='cuda:0')","tensor(0.0026477973, device='cuda:0')"
186800,2802,280200,0.009978384959697724,0.009133584548850868,0.007776203366321122,4.3218284,"tensor(1., device='cuda:0')","tensor(0.0029185887, device='cuda:0')"
206800,3102,310200,0.01009073281288147,0.009257198703183183,0.007874713640472111,4.0778995,"tensor(1., device='cuda:0')","tensor(0.0046387622, device='cuda:0')"
226800,3402,340200,0.009367241352796554,0.00865586357692291,0.007012366098385528,4.404098,"tensor(1., device='cuda:0')","tensor(0.0037381481, device='cuda:0')"
246800,3702,370200,0.009717486029863357,0.008836889613123858,0.007262778034396976,5.193032,"tensor(1., device='cuda:0')","tensor(0.0259230416, device='cuda:0')"
250200,3753,375300,0.009802040994167328,0.008947335417847969,0.0072875093749703275,4.7131543,"tensor(1., device='cuda:0')","tensor(0.0031900816, device='cuda:0')"
270200,4053,405300,0.00961432695388794,0.008830225529188957,0.006816489765139724,3.877849,"tensor(1., device='cuda:0')","tensor(0.0029745025, device='cuda:0')"
290200,4353,435300,0.009796136516332626,0.008919327764566035,0.0067919775280705025,4.4634156,"tensor(1., device='cuda:0')","tensor(0.0018001217, device='cuda:0')"
310200,4653,465300,0.009908347314596177,0.00909221682984508,0.0068400891217257065,4.5020165,"tensor(1., device='cuda:0')","tensor(2.5393441319e-05, device='cuda:0')"
330200,4953,495300,0.009312154084444047,0.008410210857752962,0.006047450090767309,4.3953123,"tensor(1., device='cuda:0')","tensor(0.0017405656, device='cuda:0')"
333600,5004,500400,0.009634264838695526,0.008795634688076882,0.006309904818664629,4.1240172,"tensor(1., device='cuda:0')","tensor(0.0119782686, device='cuda:0')"
353600,5304,530400,0.009932426291704178,0.009114969275911449,0.006301717155237087,4.1245556,"tensor(1., device='cuda:0')","tensor(0.0081130620, device='cuda:0')"
373600,5604,560400,0.009407104170322419,0.00857608991902825,0.005707338460207111,4.2460904,"tensor(1., device='cuda:0')","tensor(0.0021796187, device='cuda:0')"
393600,5904,590400,0.009065391141176224,0.00825170968429688,0.005344548683545767,4.7517533,"tensor(1., device='cuda:0')","tensor(0.0008496717, device='cuda:0')"
413600,6204,620400,0.009658249670267105,0.00882952941931607,0.005668835712939476,5.466439,"tensor(1., device='cuda:0')","tensor(0.0080932230, device='cuda:0')"
417000,6255,625500,0.00904707515835762,0.008240318846181911,0.005272225713510128,4.913707,"tensor(1., device='cuda:0')","tensor(0.0072557181, device='cuda:0')"
437000,6555,655500,0.009550820571184159,0.008679337808489083,0.00498630440478901,4.0287657,"tensor(1., device='cuda:0')","tensor(0.0093452698, device='cuda:0')"
457000,6855,685500,0.009174011105298996,0.00836547552638126,0.004632514699172717,5.2066903,"tensor(1., device='cuda:0')","tensor(0.0037171110, device='cuda:0')"
477000,7155,715500,0.009764319163560867,0.00898461394639561,0.005160521154573519,5.4600472,"tensor(1., device='cuda:0')","tensor(0.0084699476, device='cuda:0')"
497000,7455,745500,0.00916875438094139,0.008361743913727869,0.0046133126070900775,4.792153,"tensor(1., device='cuda:0')","tensor(0.0025546269, device='cuda:0')"
500400,7506,750600,0.009520021939277649,0.0087366792719113,0.004730477638716819,4.9851046,"tensor(1., device='cuda:0')","tensor(0.0066121724, device='cuda:0')"
520400,7806,780600,0.010767743349075317,0.009827472428666736,0.004892307957942342,4.8241806,"tensor(1., device='cuda:0')","tensor(0.0062300172, device='cuda:0')"
540400,8106,810600,0.00978136323094368,0.008856653802424046,0.00413270768423508,5.11905,"tensor(1., device='cuda:0')","tensor(0.0052475412, device='cuda:0')"
560400,8406,840600,0.00934474578499794,0.008428422064983733,0.003733566042751264,5.5247183,"tensor(1., device='cuda:0')","tensor(0.0122716734, device='cuda:0')"
